Product Name,Price (₹),Rating (★),Number of Buyers,Total Sold,Available Stock,Main Category,Sub Category,Discount (%),Seller,Return Policy,Product URL
Saraf-Lalla Ratione Plus Kitchenware 7,33020.75,4.2,1254,7283,303,Home,Kitchenware,68,FashionPlus,TRUE,https://www.flipkart.com/Saraf-Lalla-Ratione-Plus-Kitchenware-7-7408
"Krish, Suresh and Nath Libero Ultra Washing Machines 5",44824.65,3.2,5215,1195,526,Appliances,Washing Machines,0,FashionPlus,TRUE,"https://www.flipkart.com/Krish,-Suresh-and-Nath-Libero-Ultra-Washing-Machines-5-9129"
"Tiwari, Pillai and Nagarajan Labore Pro Shoes 4",25944.42,3.1,3135,9363,577,Fashion,Shoes,59,RetailNet,TRUE,"https://www.flipkart.com/Tiwari,-Pillai-and-Nagarajan-Labore-Pro-Shoes-4-9576"
"Tella, Dayal and Tak Totam Ultra Kitchenware 14",43752.94,5,4052,635,141,Home,Kitchenware,32,Flipkart Assured,TRUE,"https://www.flipkart.com/Tella,-Dayal-and-Tak-Totam-Ultra-Kitchenware-14-9224"
Master-Bose Corporis Pro Laptops 12,203497.54,3.4,5061,7433,1795,Electronics,Laptops,13,MobileHub,FALSE,https://www.flipkart.com/Master-Bose-Corporis-Pro-Laptops-12-4166
Shroff-Sangha Totam Pro Laptops 14,57779.81,3.2,355,9825,18,Electronics,Laptops,0,RetailNet,TRUE,https://www.flipkart.com/Shroff-Sangha-Totam-Pro-Laptops-14-9491
Padmanabhan Inc Totam Ultra Microwaves 14,2551.73,3.3,9629,6366,1225,Appliances,Microwaves,62,RetailNet,FALSE,https://www.flipkart.com/Padmanabhan-Inc-Totam-Ultra-Microwaves-14-3813
Tara Group Provident Plus T-Shirts 13,1915.64,3.8,7927,693,313,Fashion,T-Shirts,48,RetailNet,TRUE,https://www.flipkart.com/Tara-Group-Provident-Plus-T-Shirts-13-1811
Deol and Sons Ab Plus Furniture 5,31388.92,4.4,5508,4023,115,Home,Furniture,0,ElectroWorld,TRUE,https://www.flipkart.com/Deol-and-Sons-Ab-Plus-Furniture-5-3331
Bhat Inc Omnis Plus Refrigerators 2,10007.56,3.7,5702,1580,502,Appliances,Refrigerators,0,SuperComNet,TRUE,https://www.flipkart.com/Bhat-Inc-Omnis-Plus-Refrigerators-2-7081
Subramaniam-Mutti Consectetur Plus Refrigerators 1,41173.7,4.1,148,988,67,Appliances,Refrigerators,0,FashionPlus,TRUE,https://www.flipkart.com/Subramaniam-Mutti-Consectetur-Plus-Refrigerators-1-5938
Chander-Brar Modi Pro Laptops 11,97891.22,4.4,9024,8779,1281,Electronics,Laptops,0,MobileHub,FALSE,https://www.flipkart.com/Chander-Brar-Modi-Pro-Laptops-11-9644
Varma-Kant Reiciendis Lite Kitchenware 12,16789.59,4.8,5600,843,328,Home,Kitchenware,0,MobileHub,TRUE,https://www.flipkart.com/Varma-Kant-Reiciendis-Lite-Kitchenware-12-8258
"Krishna, Narain and Chakrabarti Fugiat Pro Dresses 14",39797.75,4.9,7748,1373,312,Fashion,Dresses,29,Cloudtail India,FALSE,"https://www.flipkart.com/Krishna,-Narain-and-Chakrabarti-Fugiat-Pro-Dresses-14-9882"
Ganesan LLC Assumenda Pro Dresses 13,49389.03,4,3490,5121,2348,Fashion,Dresses,62,MobileHub,TRUE,https://www.flipkart.com/Ganesan-LLC-Assumenda-Pro-Dresses-13-3412
Kanda-Lall Blanditiis Ultra Kitchenware 13,48052.84,4.5,7121,3571,1402,Home,Kitchenware,49,Flipkart Assured,FALSE,https://www.flipkart.com/Kanda-Lall-Blanditiis-Ultra-Kitchenware-13-6548
"Kaul, Lala and Thaker Quidem Ultra Laptops 15",128141.64,4.8,7348,6020,1167,Electronics,Laptops,37,Cloudtail India,FALSE,"https://www.flipkart.com/Kaul,-Lala-and-Thaker-Quidem-Ultra-Laptops-15-2285"
Pant Ltd Odio Pro Refrigerators 14,69986.62,3.2,3124,5216,1664,Appliances,Refrigerators,28,MobileHub,TRUE,https://www.flipkart.com/Pant-Ltd-Odio-Pro-Refrigerators-14-4956
Natarajan Ltd Repellendus Pro Shoes 13,24704.37,3.4,5387,3991,1525,Fashion,Shoes,59,MobileHub,TRUE,https://www.flipkart.com/Natarajan-Ltd-Repellendus-Pro-Shoes-13-1114
"Randhawa, Puri and Agarwal Rem Pro Washing Machines 8",10296.27,4,4048,5010,1342,Appliances,Washing Machines,53,Cloudtail India,TRUE,"https://www.flipkart.com/Randhawa,-Puri-and-Agarwal-Rem-Pro-Washing-Machines-8-2294"
Magar Inc Beatae Lite Furniture 9,42188.58,3.2,3688,6091,2046,Home,Furniture,68,ElectroWorld,TRUE,https://www.flipkart.com/Magar-Inc-Beatae-Lite-Furniture-9-2137
Rana and Sons Voluptates Pro Washing Machines 10,22022.46,3.5,1590,1177,311,Appliances,Washing Machines,9,MobileHub,FALSE,https://www.flipkart.com/Rana-and-Sons-Voluptates-Pro-Washing-Machines-10-9588
"Kapoor, Kalita and Prasad Natus Lite Headphones 7",29122.01,4.3,234,4439,387,Electronics,Headphones,38,Cloudtail India,FALSE,"https://www.flipkart.com/Kapoor,-Kalita-and-Prasad-Natus-Lite-Headphones-7-4240"
Biswas Inc In Pro Smartphones 3,12594.15,3.4,3330,4732,1528,Electronics,Smartphones,40,HomeCare Solutions,FALSE,https://www.flipkart.com/Biswas-Inc-In-Pro-Smartphones-3-4998
Keer-Chaudry Ipsum Plus Refrigerators 4,72122.62,4.2,6466,5220,1932,Appliances,Refrigerators,68,FashionPlus,FALSE,https://www.flipkart.com/Keer-Chaudry-Ipsum-Plus-Refrigerators-4-9822
Chandra and Sons Quam Pro Smartwatches 15,37919.23,3.9,4819,631,266,Electronics,Smartwatches,0,HomeCare Solutions,FALSE,https://www.flipkart.com/Chandra-and-Sons-Quam-Pro-Smartwatches-15-1926
Varty-Khurana Sed Plus Laptops 2,201411.05,3.6,5365,6540,1299,Electronics,Laptops,39,MobileHub,FALSE,https://www.flipkart.com/Varty-Khurana-Sed-Plus-Laptops-2-3385
More-Dora Laboriosam Ultra Smartwatches 6,39853.55,3.8,3497,8357,436,Electronics,Smartwatches,6,MobileHub,FALSE,https://www.flipkart.com/More-Dora-Laboriosam-Ultra-Smartwatches-6-6750
"Wason, Barad and Rajagopalan Molestias Pro Refrigerators 11",76248.55,3.7,1260,1167,380,Appliances,Refrigerators,34,Cloudtail India,TRUE,"https://www.flipkart.com/Wason,-Barad-and-Rajagopalan-Molestias-Pro-Refrigerators-11-9247"
Ramesh PLC Doloribus Ultra Laptops 12,46584.75,4.5,3132,1461,605,Electronics,Laptops,43,ElectroWorld,FALSE,https://www.flipkart.com/Ramesh-PLC-Doloribus-Ultra-Laptops-12-2652
"Chaudhry, Divan and Nori Doloribus Lite Lighting 10",37413.88,3.7,9702,5217,2015,Home,Lighting,41,Flipkart Assured,TRUE,"https://www.flipkart.com/Chaudhry,-Divan-and-Nori-Doloribus-Lite-Lighting-10-5113"
Bains Ltd Fuga Ultra Refrigerators 8,72656.31,3.1,9272,5086,2378,Appliances,Refrigerators,62,Cloudtail India,TRUE,https://www.flipkart.com/Bains-Ltd-Fuga-Ultra-Refrigerators-8-1496
"Kakar, Chaudhary and D’Alia Molestias Lite Headphones 9",2035.11,3.1,1552,4342,657,Electronics,Headphones,5,Flipkart Assured,TRUE,"https://www.flipkart.com/Kakar,-Chaudhary-and-D’Alia-Molestias-Lite-Headphones-9-7805"
Uppal-Madan At Plus Smartphones 14,89051.73,3.5,4260,750,198,Electronics,Smartphones,0,Flipkart Assured,FALSE,https://www.flipkart.com/Uppal-Madan-At-Plus-Smartphones-14-6825
Edwin-Dar Praesentium Plus Lighting 6,38740.34,4.4,6434,3841,1863,Home,Lighting,8,RetailNet,FALSE,https://www.flipkart.com/Edwin-Dar-Praesentium-Plus-Lighting-6-2463
Walla-Mannan Tempore Plus Washing Machines 14,19888.27,3,3364,1120,99,Appliances,Washing Machines,20,FashionPlus,TRUE,https://www.flipkart.com/Walla-Mannan-Tempore-Plus-Washing-Machines-14-3222
Mander Group Amet Plus Laptops 6,220277.61,3.6,5619,2278,538,Electronics,Laptops,61,ElectroWorld,TRUE,https://www.flipkart.com/Mander-Group-Amet-Plus-Laptops-6-8413
Kari LLC Dolorem Plus Jeans 9,36161.1,4.6,9894,7085,246,Fashion,Jeans,57,Flipkart Assured,TRUE,https://www.flipkart.com/Kari-LLC-Dolorem-Plus-Jeans-9-7538
Devi and Sons Aliquam Pro Lighting 12,5338.04,3.7,8241,2963,533,Home,Lighting,35,FashionPlus,TRUE,https://www.flipkart.com/Devi-and-Sons-Aliquam-Pro-Lighting-12-6989
Datta PLC Necessitatibus Pro Headphones 7,34993.01,4.5,9720,649,40,Electronics,Headphones,35,HomeCare Solutions,TRUE,https://www.flipkart.com/Datta-PLC-Necessitatibus-Pro-Headphones-7-6272
Nazareth and Sons Quibusdam Ultra Furniture 12,11275.65,4,6082,3464,797,Home,Furniture,8,RetailNet,TRUE,https://www.flipkart.com/Nazareth-and-Sons-Quibusdam-Ultra-Furniture-12-3120
Bandi PLC Nobis Ultra Headphones 8,48760.25,3.9,1533,1194,383,Electronics,Headphones,20,HomeCare Solutions,FALSE,https://www.flipkart.com/Bandi-PLC-Nobis-Ultra-Headphones-8-8176
Anne-Golla A Lite Refrigerators 13,44554.15,4.3,5939,4731,1459,Appliances,Refrigerators,6,ElectroWorld,TRUE,https://www.flipkart.com/Anne-Golla-A-Lite-Refrigerators-13-4893
"Amble, Sinha and Rout Ex Ultra Smartwatches 8",36379,3.7,8978,8513,389,Electronics,Smartwatches,0,SuperComNet,FALSE,"https://www.flipkart.com/Amble,-Sinha-and-Rout-Ex-Ultra-Smartwatches-8-6788"
De-Aggarwal Natus Pro Laptops 12,97260.54,4.3,4398,9378,945,Electronics,Laptops,0,MobileHub,TRUE,https://www.flipkart.com/De-Aggarwal-Natus-Pro-Laptops-12-8045
Chokshi and Sons Enim Plus Headphones 4,18172.92,4,6614,6817,2457,Electronics,Headphones,44,FashionPlus,TRUE,https://www.flipkart.com/Chokshi-and-Sons-Enim-Plus-Headphones-4-1440
Ranganathan-Jani Aperiam Plus Dresses 15,42469.87,3.9,903,9566,1591,Fashion,Dresses,0,FashionPlus,TRUE,https://www.flipkart.com/Ranganathan-Jani-Aperiam-Plus-Dresses-15-6532
Sheth PLC Quas Ultra Laptops 13,57932.29,3.2,4146,5810,865,Electronics,Laptops,61,FashionPlus,FALSE,https://www.flipkart.com/Sheth-PLC-Quas-Ultra-Laptops-13-3256
"Shenoy, Sekhon and Ghose Quidem Lite Lighting 5",42729.6,4.5,684,8258,596,Home,Lighting,0,MobileHub,TRUE,"https://www.flipkart.com/Shenoy,-Sekhon-and-Ghose-Quidem-Lite-Lighting-5-3350"
Seshadri-Kadakia Recusandae Plus Washing Machines 2,3077.73,4.5,3413,3204,1575,Appliances,Washing Machines,46,FashionPlus,TRUE,https://www.flipkart.com/Seshadri-Kadakia-Recusandae-Plus-Washing-Machines-2-4782
"More, Korpal and Master Nemo Plus Headphones 2",41316.66,3.4,2825,4204,1524,Electronics,Headphones,0,SuperComNet,FALSE,"https://www.flipkart.com/More,-Korpal-and-Master-Nemo-Plus-Headphones-2-4024"
Contractor LLC Possimus Lite Refrigerators 4,47177.04,4.7,163,8344,892,Appliances,Refrigerators,11,RetailNet,FALSE,https://www.flipkart.com/Contractor-LLC-Possimus-Lite-Refrigerators-4-5646
Grewal Inc Animi Plus Washing Machines 8,27018.08,3.4,7491,2524,432,Appliances,Washing Machines,16,HomeCare Solutions,FALSE,https://www.flipkart.com/Grewal-Inc-Animi-Plus-Washing-Machines-8-5013
Mittal LLC Earum Ultra Smartphones 3,5141.84,4.1,5286,7265,1164,Electronics,Smartphones,17,Flipkart Assured,TRUE,https://www.flipkart.com/Mittal-LLC-Earum-Ultra-Smartphones-3-5605
Venkataraman Inc Quo Plus Refrigerators 7,50875.99,3.9,3154,8663,542,Appliances,Refrigerators,0,FashionPlus,FALSE,https://www.flipkart.com/Venkataraman-Inc-Quo-Plus-Refrigerators-7-7434
Luthra-Banerjee Facilis Lite Washing Machines 15,17734.01,3.5,1197,9474,3391,Appliances,Washing Machines,50,FashionPlus,FALSE,https://www.flipkart.com/Luthra-Banerjee-Facilis-Lite-Washing-Machines-15-4212
"Kurian, Arya and Chana Doloremque Lite ACs 11",28159.97,4.6,3989,6188,2898,Appliances,ACs,24,MobileHub,TRUE,"https://www.flipkart.com/Kurian,-Arya-and-Chana-Doloremque-Lite-ACs-11-8637"
"Thakkar, Goda and Patla Saepe Pro Laptops 2",123265.78,4.3,1567,7828,585,Electronics,Laptops,19,RetailNet,TRUE,"https://www.flipkart.com/Thakkar,-Goda-and-Patla-Saepe-Pro-Laptops-2-5237"
Dhingra PLC Provident Ultra T-Shirts 11,357.31,4.3,7420,9968,2669,Fashion,T-Shirts,19,Flipkart Assured,FALSE,https://www.flipkart.com/Dhingra-PLC-Provident-Ultra-T-Shirts-11-7020
Handa Ltd Maiores Ultra Washing Machines 8,30720.86,3.4,9724,4311,841,Appliances,Washing Machines,28,SuperComNet,FALSE,https://www.flipkart.com/Handa-Ltd-Maiores-Ultra-Washing-Machines-8-5037
